"Title","Type","Location","Logo","Phone","Fax","Mobile Phone","Member"
"Lee Ann Linder - FEoN Realty","EcoBusiness","
  
              
        12117 Bee Caves Road, Bldg. 1, Suite 101              
              Austin,               TX
              78738
                                          
      
      See map: Google Maps    
  ","","(512) 402-9998","","",""
"LiveNeutral","EcoBusiness","
  
              
        2601 Mission St.              
              Ft. Worth,               TX
              76109
                                          
      
      See map: Google Maps    
  ","","","","",""
"Living Clay","EcoBusiness","
  
              
        209 E. Ben White Blvd. Suite 111                
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 804-5909","","",""
"Living Ethic Architecture","EcoBusiness","
  
              
        1717 Rosewood Ave                
              Austin,               TX
              78702
                                          
      
      See map: Google Maps    
  ","","(512) 428-6488","","",""
"Living Health","EcoBusiness","
  
              
        1191 Shiloh Rd.              
              Cedar Creek,               TX
              78612
                                          
      
      See map: Google Maps    
  ","","(512) 349-9677","","",""
"Maine Root's Soda","EcoBusiness","
  
              
        1406 Smith Road. Suite F              
              Austin,               TX
              78721
                                          
      
      See map: Google Maps    
  ","","(512) 517-3158","","",""
"Marjory Gentsch - Hill Country Green Team","EcoBusiness","
  
              
        16700 Goldenwood Way              
              Austin,               TX
              78737
                                          
      
      See map: Google Maps    
  ","","(512) 917-1162","","",""
"Transition Austin","EcoCommunity - non-profits, government agencies and community groups.","","","","","",""
"Austin Youth River Watch","EcoCommunity - non-profits, government agencies and community groups.","
  
          Austin Youth River Watch
              
        10611 Platt Lane              
              Austin,               TX
              78725
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/ayrw.png","(512) 708-9115","","","brentlyles"
"Environmental Corps","EcoCommunity - non-profits, government agencies and community groups.","
  
          Environmental Corps
              
        216 E. 4th              
              Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/am_youth_wks.jpg","(512) 744-1947","(512) 448-9120","",""
"Sustainable Energy and Economic Development (SEED) Coalition","EcoCommunity - non-profits, government agencies and community groups.","
  
          SEED Coalition
              
        1303 San Antonio #100              
              Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/SEED.jpg","(512) 797-8481","","",""
"PODER (People Organized in Defense of Earth and Her Resources)","EcoCommunity - non-profits, government agencies and community groups.","
  
          PODER
              
        PO Box 6237              
              Austin,               TX
              78762
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/PODER.jpg","(512) 472-9921","(512) 472-9922","",""
"Austin Organic Gardeners","EcoCommunity - non-profits, government agencies and community groups.","
  
          Austin Organic Gardners
              
        11104 Jockey Bluff Drive              
              Austin,               TX
              78748
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/organic_garden.jpg","(512) 291-5712","","",""
"Say No To GMOs!","EcoCommunity - non-profits, government agencies and community groups.","
  
                                                          
      
      See map: Google Maps    
  ","","","","",""
"Texas Organic Farmers and Gardners Association","EcoCommunity - non-profits, government agencies and community groups.","
  
          Texas Organic Farmers and Gardners Association
              
        288 SW County Road 20,               
              Corsicana,               TX
              75110
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/tofga.jpg","(877) 766-0006","","",""
"Design It With Consignment","EcoBusiness","
  
              
        4211 S. Lamar              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 301-9800","","",""
"Dewberry Hills Farm","EcoBusiness","
  
              
        5619 FM 1624              
              Lexington,               TX
              78947
                                          
      
      See map: Google Maps    
  ","","(512) 253-0008","","",""
"Dharma Yoga","EcoBusiness","
  
          4101 Guadalupe St. #300
                  Austin,               TX
              78751
                                          
      
      See map: Google Maps    
  ","","(512) 420-0009","","",""
"Dick Pierce Designs","EcoBusiness","
  
              
        801 E. 32nd St.              
              Austin,               TX
              78705
                                          
      
      See map: Google Maps    
  ","","(512) 992-8858","","",""
"Diesel Green Fuels","EcoBusiness","
  
              
        5217 Cesar Chavez              
              Austin,               TX
              78702
                                          
      
      See map: Google Maps    
  ","","(512) 247-3835","","",""
"Dipdunk Cookies","EcoBusiness","
  
              
        9600 Escarpment Blvd. Suite 745-247              
              Austin,               TX
              78749
                                          
      
      See map: Google Maps    
  ","","","","",""
"Dish a Licious","EcoBusiness","","","(512) 529-8569","","",""
"Distinct Details","EcoBusiness","
  
                  Austin,               TX
              78731
                                          
      
      See map: Google Maps    
  ","","","","",""
"Diversified Thermal Inc","EcoBusiness","
  
              
        12406 Surrey Ln              
              Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","","(512) 328-5110","","",""
"Dominican Joe","EcoBusiness","
  
              
        515 S. Congress Ave.              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 448-3919","","",""
"Doug Gorton Professional Services","EcoBusiness","","","(512) 799-8384","","",""
"Dr. Griffin Cole, DDS","EcoBusiness","
  
              
        1301 West 25th St. Ste. 402              
              Austin,               TX
              78705
                                          
      
      See map: Google Maps    
  ","","(512) 472-3565","","",""
"Dr. Singha's Natural Therapeutics","EcoBusiness","
  
              
        2500 Side Cove              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","","","",""
"Dr. Joan L Sefcik DDS","EcoBusiness","
  
              
        4014 Marathon Blvd              
              Austin,               TX
              78756
                                          
      
      See map: Google Maps    
  ","","(512) 453-6337","","",""
"Dream Lawns of Austin","EcoBusiness","","","(512) 560-2054","","",""
"Drive Clean Across Texas","EcoCommunity - non-profits, government agencies and community groups.","","","","","",""
"Dunn and Dunn Construction","EcoBusiness","
  
              
        101 41st Street              
              Horseshoe Bay,               TX
              78657
                                          
      
      See map: Google Maps    
  ","","(512) 771-7432","","",""
"Dydee Diaper Services","EcoBusiness","
  
              
        2309 Thornton Rd. Ste. M              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 442-1449","","",""
"E.A.S","EcoBusiness","
  
              
        8112 Ferguson Cut Off              
              Austin,               TX
              78724
                                          
      
      See map: Google Maps    
  ","","(866) 428-9370","","",""
"Earth Share of Texas","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        707 West Ave. Ste. 203              
              Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","","(512) 472-5518","","",""
"Earth's Outlet","EcoBusiness","
  
              
        P.O. Box 201272              
              Austin,               TX
              78720
                                          
      
      See map: Google Maps    
  ","","","","",""
"Eastside Cafe","EcoBusiness","
  
              
        2113 Manor Rd              
              Austin,               TX
              78722
                                          
      
      See map: Google Maps    
  ","","(512) 476-5858","","",""
"Easy Street","EcoBusiness","
  
              
        5555 N. Lamar Blvd. Suite C127              
              Austin,               TX
              78751
                                          
      
      See map: Google Maps    
  ","","(512) 453-0438","","",""
"Eco Inspections Inc.","EcoBusiness","","","(512) 784-3429","","",""
"Greenvacious","EcoBusiness","
  
              
        12220 Hunters Chase              
              Austin,               TX
              78729
                                          
      
      See map: Google Maps    
  ","","(512) 430-4080","","",""
"El Jardin Alegre Community Garden","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        1801 East 2nd St.              
              Austin,               TX
              78702
                                          
      
      See map: Google Maps    
  ","","","","",""
"Electric Cars of Austin","EcoBusiness","
  
              
        704 North Lamar              
              Austin,               TX
              78703
                                          
      
      See map: Google Maps    
  ","","(512) 472-4222","","",""
"Electronic Recycling & Trading","EcoBusiness","
  
              
        6106 Baldmin Dr.              
              Austin,               TX
              78724
                                          
      
      See map: Google Maps    
  ","","(512) 927-2300","","",""
"Element 7 Concrete Designs","EcoBusiness","
  
              
        901 3rd Street              
              marble falls,               TX
                                              
      
      See map: Google Maps    
  ","","(830) 693-0777","","",""
"Groovy Greens","EcoBusiness","
  
              
        PO Box 266              
              Blanco,               TX
              78606
                                          
      
      See map: Google Maps    
  ","","(830) 833-4276","","",""
"Elevation Burger","EcoBusiness","
  
              
        9828 Great Hills Trail              
              Austin,               TX
              78759
                                          
      
      See map: Google Maps    
  ","","(512) 608-4054","","",""
"Empire BMX","EcoBusiness","
  
              
        1114 W. 5th Street #A              
              Austin,               TX
              78703
                                          
      
      See map: Google Maps    
  ","","(512) 474-4269","","",""
"GT Environmental Finance LLC","EcoBusiness","
  
              
        816 Congress Avenue                   Suite 1200              
              Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","","(512) 342-2711","","",""
"Enviroescape","EcoBusiness","","","(512) 349-2112","","",""
"Envirologics","EcoBusiness","
  
                  Austin,               TX
              78765
                                          
      
      See map: Google Maps    
  ","","(877) 904-1419","","",""
"Guy Rollins, Architect","EcoBusiness","
  
              
        PO Box 2422              
              Wimberly,               TX
              78676
                                          
      
      See map: Google Maps    
  ","","(512) 847-7380","","",""
"Green Party of Texas","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        PO Box 1508              
              Austin,               TX
              78767
                                          
      
      See map: Google Maps    
  ","","(888) 944-7839","","",""
"Environment Texas","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        815 Brazos Ste. 600              
              Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","","(512) 479-0388","","",""
"Gypsi Lullabi and Gypson","EcoBusiness","","","(866) 214-0527","","",""
"Eviromaids","EcoBusiness","","","(512) 769-4091","","",""
"Habitat for Humanity ReStore","EcoBusiness","
  
              
        310 Comal St              
              Austin,               TX
              78702
                                          
      
      See map: Google Maps    
  ","","(512) 478-2165","","",""
"Excellence in Touch Inc.","EcoBusiness","
  
              
        2525 Wallingwood Dr, Suite 702A              
              Austin,               TX
              78746
                                          
      
      See map: Google Maps    
  ","","(512) 415-9691","","",""
"EZ Herbs","EcoBusiness","
  
              
        8803 Bear Creek Drive              
              Austin,               TX
              78737
                                          
      
      See map: Google Maps    
  ","","(512) 301-5838","","",""
"Faernyn's Grove Corsetry","EcoBusiness","
  
              
        509 E. Elizabeth St.               
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","","","",""
"Fair Bean Coffee","EcoBusiness","
  
              
        2210 S. 1st St.              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 347-7921","","",""
"Farm to Market Grocery","EcoBusiness","
  
              
        1718 South Congress              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 462-7220","","",""
"Fat Bottom Farm","EcoBusiness","
  
              
        PO Box 352              
              Gause,               TX
              77587
                                          
      
      See map: Google Maps    
  ","","(512) 455-9665","","",""
"Fat Turkey Chocolate Company","EcoBusiness","
  
              
        1300 S. Pleasant Valley Rd. #178              
              Austin,               TX
              78741
                                          
      
      See map: Google Maps    
  ","","(512) 637-0479","","",""
"Finca Pura Vida","EcoBusiness","
  
              
        944 Lakeview Rd.              
              Fayetteville,               TX
              78940
                                          
      
      See map: Google Maps    
  ","","(979) 249-3866","","",""
"FITS Computer Recycling","EcoBusiness","
  
              
        21653 High Dr.              
              Lago Vista,               TX
              78645
                                          
      
      See map: Google Maps    
  ","","(281) 450-0508","","",""
"Five Elements Acupunture and Chinese Herbal Medicine","EcoBusiness","
  
              
        1408 Glenwood Ave.              
              Austin,               TX
              78723
                                          
      
      See map: Google Maps    
  ","","","","",""
"Halcyon Environmental","EcoBusiness","
  
          5608 Joe Sayers Ave
                  Austin,               TX
              78756
                                          
      
      See map: Google Maps    
  ","","(512) 809-3648","","",""
"HammerHead Bicycles","EcoBusiness","
  
          12307 Roxie Dr. #102
                  Austin,               TX
              78729
                                          
      
      See map: Google Maps    
  ","","(512) 331-2002","","",""
"Handmade Expressions","EcoBusiness","
  
              
        937 Reinli St. Ste #27              
              Austin,               TX
              78751
                                          
      
      See map: Google Maps    
  ","","(512) 535-5228","","",""
"Hands of the Earth Farm","EcoBusiness","
  
              
        7651 Delwau Lane              
              Austin,               TX
              78725
                                          
      
      See map: Google Maps    
  ","","","","",""
"Happy Endings Diapers","EcoBusiness","
  
              
        13359 N Hwy 183 Ste 406              
              Austin,               TX
              78725
                                          
      
      See map: Google Maps    
  ","","(512) 432-5738","","",""
"Happy Tails Cafe","EcoBusiness","
  
          3200 Jones Rd.
                  Austin,               TX
              78752
                                          
      
      See map: Google Maps    
  ","","(512) 343-6238","","",""
"Happy Vegan","EcoBusiness","","","(512) 657-3934","","",""
"Harris Welker Architects","EcoBusiness","
  
          4911 Rollingwood Drive
                  Austin,               TX
              78746
                                          
      
      See map: Google Maps    
  ","","(512) 329-5998","","",""
"Hatch Ulland & Owen Architects","EcoBusiness","
  
          702 San Antonio St
                  Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","","(512) 474-8548","","",""
"Healthy Raw Superfoods","EcoBusiness","","","(512) 786-1373","","",""
"On Time Electric & Air","EcoBusiness","
  
          On Time Electric & Air
              
        312 Western Trails Blvd              
              Austin,               TX
              78745
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/ontime.jpg","(866) 466-8463","","",""
"Heart O' Texas Orchid Society","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        2220 Barton Springs Road              
              Austin,               TX
              78746
                                          
      
      See map: Google Maps    
  ","","","","",""
"Herb Bar","EcoBusiness","
  
          P.O. Box 133096
              
        200 W Mary St              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 444-6251","","",""
"One World Theatre","EcoBusiness","
  
          One World Theatre
              
        7701 Bee Caves Roada              
              Austin,               TX
              78746
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/OW-logo.gif","(512) 330-9500","","",""
"One Yoga","EcoBusiness","
  
          One Yoga
              
        1205 Hillside Ave              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/palapa_branch_432w-filtered.jpg","","","",""
"Hill Country Cupcake","EcoBusiness","","","(512) 300-1560","","",""
"City of Austin Household Hazardous Waste Services","EcoBusiness","
  
          2514 Business Center Dr.
                  Austin,               TX
              78798
                                          
      
      See map: Google Maps    
  ","","(512) 974-4334","","",""
"Huberts Peak Creative Works","EcoBusiness","
  
              
        4704b East Cesar Chavez              
              Austin,               TX
              78702
                                          
      
      See map: Google Maps    
  ","","(512) 687-4116","","",""
"In Cycle Electronics","EcoBusiness","
  
              
        3739 Drossett Dr.              
              Austin,               TX
              78744
                                          
      
      See map: Google Maps    
  ","","(512) 617-7300","","",""
"Infinite Power of Texas","EcoBusiness","
  
          111 East 17th Street. Room 1114
                  Austin,               TX
              78774
                                          
      
      See map: Google Maps    
  ","","(512) 463-1889","","",""
"Insta-dry Organic Carpet Cleaning","EcoBusiness","","","(512) 686-1873","","",""
"Jack & Adam's Bicycles","EcoBusiness","
  
              
        1210 Barton Springs Rd              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 472-5646","","",""
"Jade Leaves Tea House","EcoBusiness","
  
          3110 Guadalupe St.
                  Austin,               TX
              78705
                                          
      
      See map: Google Maps    
  ","","(512) 687-0569","","",""
"Java Dive Organic Cafe & Bakery","EcoBusiness","
  
          1607 Ranch Road 620 North
                  Austin,               TX
              78734
                                          
      
      See map: Google Maps    
  ","","(512) 266-5885","","",""
"Blue Marble","EcoBusiness","","sites/default/files/org_logos/BlueMarbleLogo.jpg","(512) 986-8305","(512) 857-7930","",""
"Josh Hobbs Solar Screen Services","EcoBusiness","
  
          PO Box 10897
                  Austin,               TX
              78766
                                          
      
      See map: Google Maps    
  ","","(512) 351-5762","","",""
"KlapnKlip","EcoBusiness","
  
          3571 Far West Blvd. Unit 62, Unit 62
                  Austin,               TX
              78731
                                          
      
      See map: Google Maps    
  ","","","","",""
"Vegetarian Network of Austin","EcoCommunity - non-profits, government agencies and community groups.","
  
          Vegetarian Network of Austin
              
        PO Box 49333              
              Austin,               TX
              78765-9333
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/vegan_network.jpg","(512) 769-7823","","",""
"Clean Water Action","EcoCommunity - non-profits, government agencies and community groups.","
  
          Clean Water Action
              
        715 W. 23rd Street, Suite R              
              Austin,               TX
              78705
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/CWA_0.jpg","(512) 474-0605","(512) 474-7024","",""
"Fleegal Farms","EcoBusiness","
  
              
        7010 W. HWY 71 Ste 340              
              Austin,               TX
              78735
                                          
      
      See map: Google Maps    
  ","","(512) 301-7627","","",""
"Food for Fitness Cafe","EcoBusiness","
  
              
        1112 N. Lamar Blvd. Ste D              
              Austin,               TX
              78703
                                          
      
      See map: Google Maps    
  ","","(512) 472-1674","","",""
"FrankenBike","EcoCommunity - non-profits, government agencies and community groups.","","","","","",""
"Fredericksburg Farmers' Market","EcoBusiness","
  
              
        Main St. & Adams St.              
              Fredericksburg,               TX
              72023
                                          
      
      See map: Google Maps    
  ","","","","",""
"Freewheeling Bicycles","EcoBusiness","
  
              
        2401 San Gabriel              
              Austin,               TX
              78705
                                          
      
      See map: Google Maps    
  ","","(512) 473-8700","","",""
"Friends of Bright Leaf","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        4400 Crestway              
              Austin,               TX
              78731
                                          
      
      See map: Google Maps    
  ","","(512) 459-7269","","",""
"Future Natural","EcoBusiness","
  
              
        222 E. Riverside Drive              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 462-0084","","",""
"G & R Recycling","EcoBusiness","
  
              
        4612 Burleson Rd. Suite 318              
              Austin,               TX
              78744
                                          
      
      See map: Google Maps    
  ","","(512) 560-7440","","",""
"Garbo-A Salon & Spa","EcoBusiness","
  
              
        7739 Northcross Dr. Ste. K               
              Austin,               TX
              78757
                                          
      
      See map: Google Maps    
  ","","(512) 458-4162","","",""
"Gardenheads","EcoBusiness","
  
              
        1914 Cullen Ave.              
              Austin,               TX
              78757
                                          
      
      See map: Google Maps    
  ","","(512) 524-5090","","",""
"Garden-Ville","EcoBusiness","
  
              
        4001 Ranch Rd 620 S              
              Bee Cave,               TX
              78738
                                          
      
      See map: Google Maps    
  ","","(512) 219-5311","","",""
"Global Energy Designs","EcoBusiness","
  
              
        1408 W. Koenig Street Suite D              
              Austin,               TX
              78756
                                          
      
      See map: Google Maps    
  ","","(512) 845-3568","","",""
"Go Green Lawn and Pest Control","EcoBusiness","
  
              
        937 Reinli St. Ste. 23              
              Austin,               TX
              78751
                                          
      
      See map: Google Maps    
  ","","(512) 371-1850","","",""
"Good Eating","EcoBusiness","","","(772) 486-0333","","",""
"Good Flow Honey Co.","EcoBusiness","
  
              
        2601 E. Cesar Chavez St.              
              Austin,               TX
              78702
                                          
      
      See map: Google Maps    
  ","","(512) 472-6714","","",""
"Granite Transformations","EcoBusiness","
  
              
        2112 Rutland Drive No. 185              
              Austin,               TX
              78758
                                          
      
      See map: Google Maps    
  ","","(512) 834-2500","","","Dan O"
"Green Builders","EcoBusiness","
  
              
        8121 Bee Caves Road              
              Austin,               TX
              78746
                                          
      
      See map: Google Maps    
  ","","(512) 732-0932","","",""
"Green City Austin","EcoBusiness","
  
              
        6000 Shepherd Mountain Cove Site #408              
              Austin,               TX
              78730
                                          
      
      See map: Google Maps    
  ","","(512) 363-5181","","",""
"Green Clean of Texas","EcoBusiness","
  
              
        8657 Ephrain Rd.              
              Austin,               TX
              78717
                                          
      
      See map: Google Maps    
  ","","(512) 743-4966","","",""
"Green Corn Project","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        PO Box 49468              
              Austin,               TX
              78765
                                          
      
      See map: Google Maps    
  ","","(512) 249-3171","","",""
"Green Footprint Solutions","EcoBusiness","
  
              
        3267 Bee Caves Rd Ste#107, PMB 285              
              Austin,               TX
              78746
                                          
      
      See map: Google Maps    
  ","","(888) 789-0906","","",""
"Green Gate Farms","EcoBusiness","
  
              
        8310 Canoga Ave              
              Austin,               TX
              78724
                                          
      
      See map: Google Maps    
  ","","(512) 949-9830","","",""
"Green Grove Media","EcoBusiness","
  
              
        1202 Fairmount Ave., Suite A              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 228-7325","","",""
"Green Habits Consulting","EcoBusiness","","","(512) 904-0521","","",""
"The Green House Studio","EcoBusiness","
  
              
        7502 Northcrest Blvd.              
              Austin,               TX
              78752
                                          
      
      See map: Google Maps    
  ","","(512) 452-4489","","",""
"Green Life Eco Consulting","EcoBusiness","
  
                  Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","","(512) 912-8389","","",""
"Green Mountain Energy","EcoBusiness","
  
              
        300 W. 6th St. #900              
              Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","","(512) 691-6100","","",""
"KlapnKlip Soy Wax and Incense","EcoBusiness","
  
              
        3571 Far West Blvd. Unit 62              
              Austin,               TX
              78731
                                          
      
      See map: Google Maps    
  ","","","","",""
"Kohana Coffee","EcoBusiness","
  
              
        1221 S. Mopac Expwy. Ste. 100              
              Austin,               TX
              78746
                                          
      
      See map: Google Maps    
  ","","(512) 904-1174","","",""
"Kula Catering","EcoBusiness","","","(512) 377-6079","","",""
"Lux Bakery & Cafe","EcoBusiness","
  
              
        3601 W. William Cannon #175              
              Austin,               TX
              78749
                                          
      
      See map: Google Maps    
  ","","(512) 891-9850","","",""
"madCakes","EcoBusiness","
  
              
        3808 Spicewood Springs Plaza, Suite 102              
              Austin,               TX
              78759
                                          
      
      See map: Google Maps    
  ","","(512) 795-9285","","",""
"Madras Pavilion","EcoBusiness","
  
              
        9025 Research Blvd. #100              
              Austin,               TX
              78758
                                          
      
      See map: Google Maps    
  ","","","","",""
"Maid Brigade","EcoBusiness","
  
              
        9705 Burnett Road #609              
              Austin,               TX
              78758
                                          
      
      See map: Google Maps    
  ","","(512) 832-7888","","",""
"Mandola's Italian Market","EcoBusiness","
  
              
        4700 West Guadalupe              
              Austin,               TX
              78751
                                          
      
      See map: Google Maps    
  ","","(512) 419-9700","","",""
"Mann Plumbing","EcoBusiness","","","(512) 251-9437","","",""
"Mary's Hair Studio","EcoBusiness","
  
              
        1508 Lavaca              
              Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","","(512) 477-7068","","",""
"McKinney Falls","EcoCommunity - non-profits, government agencies and community groups.","
  
                  Austin,               TX
              78744
                                          
      
      See map: Google Maps    
  ","","","","",""
"Organic Carpet Cleaning","EcoBusiness","","","(512) 203-7051","","",""
"Organicare","EcoBusiness","","","(512) 931-2320","","",""
"Sunshine Community Gardens","EcoBusiness","
  
              
        4814 Sunshine Dr.              
              Austin,               TX
              78703
                                          
      
      See map: Google Maps    
  ","","(512) 458-2009","","",""
"Origins","EcoBusiness","
  
              
        11410 Century Oaks Terrace              
              Austin,               TX
              78758
                                          
      
      See map: Google Maps    
  ","","(512) 834-0011","","",""
"Park Lane Guest House","EcoBusiness","
  
              
        221 Park Ln.              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 447-7460","","",""
"Sustainable Sources Green Building Information Site","EcoBusiness","
  
              
        108 Royal Way. Ste.. 1004              
              Austin,               TX
              78737
                                          
      
      See map: Google Maps    
  ","","","","",""
"Patagonia","EcoBusiness","
  
              
        316 N. Congress Ave.              
              Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","","(512) 320-8383","","",""
"Swad Indian Vegetarian Restaurant","EcoBusiness","
  
              
        9515 N Lamar Blvd #156              
              Austin,               TX
              78753
                                          
      
      See map: Google Maps    
  ","","(512) 997-7923","","",""
"Patricia Michael Design","EcoBusiness","
  
              
        603 Kingfisher Creek Drive              
              Austin,               TX
              78748
                                          
      
      See map: Google Maps    
  ","","(512) 291-4300","","",""
"Payless Insulation","EcoBusiness","
  
              
        3101 Longhorn Blvd. Ste. #110              
              Austin,               TX
              78758
                                          
      
      See map: Google Maps    
  ","","(512) 339-1021","","",""
"Tankless Water Heaters","EcoBusiness","
  
              
        2929 Longhorn Blvd. Ste. 103              
              Austin,               TX
              78758
                                          
      
      See map: Google Maps    
  ","","(512) 402-5833","","",""
"Taste No Evil Muffin Company","EcoBusiness","
  
          2531 South Lamar
                  Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 394-5273","","",""
"Peace-In-A-Bag","EcoBusiness","
  
                  Austin,               TX
              78731
                                          
      
      See map: Google Maps    
  ","","(512) 452-0334","","",""
"Peoples RX","EcoBusiness","
  
              
        13860 US 183 N.              
              Austin,               TX
              78750
                                          
      
      See map: Google Maps    
  ","","(512) 879-9500","","",""
"Performance Bicycle - North Austin","EcoBusiness","
  
              
        2900 West Anderson Lane, Suite 3              
              Austin,               TX
              78757
                                          
      
      See map: Google Maps    
  ","","(512) 879-9500","","",""
"Sweetish Hill Bakery","EcoBusiness","
  
          1120 W. 6th St.
                  Austin,               TX
              78703
                                          
      
      See map: Google Maps    
  ","","(512) 472-1347","","",""
"Performance Bicycle - South Austin","EcoBusiness","
  
              
        3005 South Lamar Blvd              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 879-9570","","",""
"Techsun Solar Incorporated","EcoBusiness","","","(866) 765-2763","","",""
"Ten Thousand Villages","EcoBusiness","
  
              
        1317 S Congress Ave              
              Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 440-0440","","",""
"Pioneer Water Tanks","EcoBusiness","
  
              
        7910 Burleson Blg. 2              
              Austin,               TX
              78744
                                          
      
      See map: Google Maps    
  ","","(512) 389-1099","","",""
"Texas Bicycle Coalition","EcoBusiness","
  
              
        1902 East 6th              
              Austin,               TX
              78702
                                          
      
      See map: Google Maps    
  ","","(512) 326-5655","","",""
"Texas Center for Policy Studies","EcoBusiness","
  
              
        44 East Ave. Ste. 100              
              Austin,               TX
              78701
                                          
      
      See map: Google Maps    
  ","","(512) 740-4086","","",""
"Texas Environmental Information Center","EcoBusiness","
  
              
        P.O. Box 81762              
              Austin,               TX
              78708
                                          
      
      See map: Google Maps    
  ","","","","",""
"Texas Fair Trade Coalition","EcoBusiness","
  
              
        1700 Montopolis Dr.              
              Austin,               TX
              78741
                                          
      
      See map: Google Maps    
  ","","(512) 472-1915","","",""
"Texas Natural Supply","EcoBusiness","
  
              
        4506 Weletka Dr. Ste. 200              
              Austin,               TX
              78734
                                          
      
      See map: Google Maps    
  ","","(512) 266-9465","","",""
"Texas Renewable Energy Industries Association","EcoBusiness","
  
              
        P. O. Box 16469              
              Austin,               TX
              78761
                                          
      
      See map: Google Maps    
  ","","(512) 345-5446","","",""
"Texas Solar Power Company","EcoBusiness","
  
              
        1703 West Koenig Lane              
              Austin,               TX
              78756
                                          
      
      See map: Google Maps    
  ","","(512) 459-9494","","",""
"Texas Sun & Shade","EcoBusiness","
  
              
        11813 Bee Caves Rd              
              Austin,               TX
              78738
                                          
      
      See map: Google Maps    
  ","","(512) 402-0990","","",""
"Texas Wind Energy Resources","EcoBusiness","
  
              
        112 E. 17th St.              
              Austin,               TX
              78702
                                          
      
      See map: Google Maps    
  ","","(512) 463-1889","","",""
"Thai Fresh","EcoBusiness","
  
              
        909 West Mary St              
              Austin,               TX
              78794
                                          
      
      See map: Google Maps    
  ","","(512) 694-9796","","",""
"The Crossings","EcoBusiness","
  
              
        13500 FM 2769              
              Austin,               TX
              78726
                                          
      
      See map: Google Maps    
  ","","(512) 258-7243","","",""
"The Natural Epicurean Academy of Culinary Arts","EcoBusiness","
  
              
        1701 Toomey Road              
              Austin,               TX
              78705
                                          
      
      See map: Google Maps    
  ","","(512) 476-2276","","",""
"Reclaimed Space & Sustain Center","EcoCommunity - non-profits, government agencies and community groups.","
  
              
        1603 W. 6th St              
              Austin,               TX
              78703
                                          
      
      See map: Google Maps    
  ","sites/default/files/org_logos/sustain_centerlogo.png","(512) 821-1809","","",""
"The Right Environment Ltd.Co","EcoBusiness","
  
              
        912 Rocky Spring Rd              
              Austin,               TX
              78753
                                          
      
      See map: Google Maps    
  ","","(512) 821-1809","","",""
"The Soup Peddler","EcoBusiness","
  
          501 W. Mary St.
                  Austin,               TX
              78704
                                          
      
      See map: Google Maps    
  ","","(512) 373-7672","","",""
